"","ymd","ym","year","code","addr_1","aptNm","jusoJibun","price","conYear","area","floor","py","cnt"
"4531",2021-01-11,2021-01-01,"2021","11350","서울_노원","상계주공9","서울특별시 노원구 상계동 670 상계주공9",57000,1988,50,5,3762,1
"4532",2021-01-11,2021-01-01,"2021","11350","서울_노원","상계주공9","서울특별시 노원구 상계동 670 상계주공9",59000,1988,50,7,3894,1
"4533",2021-01-11,2021-01-01,"2021","11350","서울_노원","상계주공4","서울특별시 노원구 상계동 749-5 상계주공4",65000,1988,58,4,3698,1
"4534",2021-01-11,2021-01-01,"2021","11350","서울_노원","상계주공2","서울특별시 노원구 상계동 740 상계주공2",58000,1987,41,9,4668,1
"4535",2021-01-11,2021-01-01,"2021","11350","서울_노원","동아불암","서울특별시 노원구 상계동 1285 동아불암",49900,1999,59,14,2791,1
"4536",2021-01-11,2021-01-01,"2021","11350","서울_노원","은빛2단지","서울특별시 노원구 상계동 1256 은빛2단지",44500,1998,50,2,2937,1
"4537",2021-01-11,2021-01-01,"2021","11350","서울_노원","수락리버시티4단지","서울특별시 노원구 상계동 1313 수락리버시티4단지",71000,2009,85,6,2756,1
"4538",2021-01-12,2021-01-01,"2021","11350","서울_노원","벽산","서울특별시 노원구 상계동 173-1 벽산",36000,1989,43,9,2763,1
"4539",2021-01-12,2021-01-01,"2021","11350","서울_노원","상계주공16","서울특별시 노원구 상계동 624 상계주공16",44000,1988,46,13,3157,1
"4540",2021-01-12,2021-01-01,"2021","11350","서울_노원","상계주공12","서울특별시 노원구 상계동 647 상계주공12",59700,1988,50,12,3940,1
"4541",2021-01-12,2021-01-01,"2021","11350","서울_노원","상계주공10","서울특별시 노원구 상계동 666 상계주공10",61000,1988,50,6,4026,1
"4542",2021-01-12,2021-01-01,"2021","11350","서울_노원","상계주공7","서울특별시 노원구 상계동 691 상계주공7",67000,1988,50,2,4422,1
"4543",2021-01-12,2021-01-01,"2021","11350","서울_노원","상계주공3","서울특별시 노원구 상계동 730-2 상계주공3",76500,1987,60,1,4208,1
"4544",2021-01-12,2021-01-01,"2021","11350","서울_노원","우림루미아트1","서울특별시 노원구 상계동 1306 우림루미아트1",70500,2004,85,13,2737,1
"4545",2021-01-12,2021-01-01,"2021","11350","서울_노원","수락파크빌","서울특별시 노원구 상계동 1269 수락파크빌",85000,2001,115,14,2439,1
